Data in S3,Data Id in Metadata Index,Metadata Id in Metadata Index,Size,,
LC08_L1TP_206022_20230513_20230518_02_T1.zip,53b5d410-cd83-4a2b-8ee0-07a791196624,1246edd1-0f5c-4883-9798-ded5ec4d7f25,1298300466,,
LC08_L1TP_206023_20230513_20230518_02_T1.zip,f21bccf1-92b9-48a2-b193-c3f2b8be56aa,dfcb8b0f-45c5-4c6d-9a25-df5989aa3fa7,1273844742,,
LC08_L1TP_206024_20230513_20230518_02_T1.zip,1845ca1e-37b0-45e4-8e39-4255d38720e8,5db2d4b4-b6c8-4898-959c-246a549ce7a0,1164412646,,
LC08_L2SP_206021_20230513_20230518_02_T1.zip,69ce4b68-bce2-4c05-9139-8d73539c523a,a0898986-5db2-45ce-b804-fef46d4c545e,950726298,,
LC08_L2SP_206023_20230513_20230518_02_T1.zip,b6c8cf6e-2da5-4b3e-9dab-6ac4e83273bb,2cb98887-8afe-4275-8eca-255957bbbf12,916954754,,
S1A_IW_GRDH_1SDV_20230517T175908_20230517T175933_048577_05D7BC_3FB5_COG.zip,c8873630-83a1-4931-a4b0-9422614596c0,f4b3cf4b-125c-483a-a38d-ec9446e7d031,1123718389,,
S1A_IW_GRDH_1SDV_20230524T063924_20230524T063949_048672_05DA9E_4F59.zip,cb879486-fcae-4a89-9610-246efc2a2dbf,e22d272d-c34c-491d-ac5c-43c2f9b1e637,1772061603,,
S1A_IW_RAW__0SDV_20230531T063107_20230531T063139_048774_05DD97_D839.zip,49f7925f-e650-4f3e-952a-8510c216bac2,9efcd87d-bd93-4bff-a963-174f8d86e6ca,1630477719,,
S1A_IW_RAW__0SDV_20230531T063132_20230531T063204_048774_05DD97_879D.zip,8ade2e92-245b-40b9-b1dd-5578acf2e1b8,c6246ac2-f325-4a0e-b1a3-607b1816b19a,1619123846,,
S1A_IW_SLC__1SDV_20230531T063135_20230531T063202_048774_05DD97_E74B.zip,1e55f150-20fc-45e2-9b32-6df9ba6a92d4,3c02bfc1-133c-4275-af78-03840633a733,8282262142,,
S2A_MSIL1C_20230520T114351_N0509_R123_T29ULS_20230520T151921.zip,a3a7fbc1-263f-4fb5-b392-9b0a933a4876,6585b136-27f1-4ff0-9764-fbd45cf8e3e7,264532416,,
S2A_MSIL1C_20230520T114351_N0509_R123_T29UMU_20230520T151921.zip,b70b151b-7485-4069-b304-b3ce2f71cd65,85f78fe6-f1a9-4da2-bc38-814ce60a46be,528400703,,
S2A_MSIL1C_20230520T114351_N0509_R123_T29UNA_20230520T151921.zip,bc6339a0-667a-42f0-adee-c3525a1ee5ca,56e7c8be-2ed1-49d0-a16a-655aa622d2fb,695014798,,
S2A_MSIL1C_20230520T114351_N0509_R123_T29UQV_20230520T151921.zip,984f943d-40ec-4415-99b4-b31fff94b9e2,49c06869-53fa-4b18-aa9e-11530dc7b6e2,398707661,,
S2B_MSIL1C_20230521T120359_N0509_R066_T29ULU_20230521T154134.zip,4805bbb6-ca3d-458c-95ca-a145297f6e86,77685ec2-f781-463a-b8ec-3affd9e2b0a6,596520022,,
S3A_SL_1_RBT____20230519T213951_20230519T214251_20230520T000538_0179_099_072_0720_PS1_O_NR_004.zip,d29ddb81-07c1-42e1-93c4-fc01d4a017ce,70551629-b5d7-47e8-a2fc-00b70a5d9638,418531090,,
S3A_SL_1_RBT____20230523T101013_20230523T101313_20230524T185717_0179_099_122_1980_PS1_O_NT_004.zip,8621797b-7d06-4fef-8278-2cd660b1ab35,7129daff-5f9a-44d8-8c38-1b8023fa9043,466204496,,
S3A_SL_2_FRP____20230523T101013_20230523T101313_20230524T190341_0179_099_122_1980_PS1_O_NT_004.zip,c14c3c05-fa4f-4b93-99eb-0c335d294442,70d5c69c-b08b-4ca0-921d-59b38a0193f4,73766507,,
S3B_SL_1_RBT____20230430T223713_20230430T224013_20230501T012256_0179_079_044_0900_PS2_O_NR_004.zip,088168d9-6304-460e-861d-c013ecf0ecb5,bcee75cd-a723-4b1c-b285-5b8b19737bb7,397239635,,
S3B_SY_2_VGP____20230525T100716_20230525T105142_20230525T161732_2666_080_008______PS2_O_ST_002.zip,51f69052-ebbf-47ed-bb00-3a607cc7677f,22c7d603-4c84-4b55-a306-f55506c05d6c,52787238,,
